field,display_name,browse_link,external_link,dc_map,schema_map
title,Name,,,,
aliases,Aliases,,,,
age,Age,,,,
gender,Gender,,,,
race,Race,,,,
birthday,Birthday,,,,
datelastcontact,Date of Last Contact,,,,
locationlastcontact,Location of Last Contact,,,,
datereportedmissing,Date Reported Missing,,,,
datebodyfound,Date Body Found,,,,
date,Date,,,,
locationbodyfound,Location Body Found,,,,
locationbelongingsfound,Location Belongings Found,,,,
location,Province,TRUE,,,
lattitude,Latitude,,,,
longitude,Longitude,,,,
height,Height,,,,
weight,Weight,,,,
eyecolour,Eye Colour,,,,
hair,Hair,,,,
distinguishingfeatures,Distinguishing Features,,,,
lastseenwearing,Last Seen Wearing,,,,
report,Full Report,,,,
subject,Subjects,TRUE,,,
source,Sources,,,,
